,ID,trip_distance,origin_lng,origin_lat,dest_lng,dest_lat,trip_time
0,CMT,0.7,-73.99477,40.736828,-73.982227,40.73179,74725
1,CMT,1.4,-73.982392,40.773382,-73.960449,40.763995,74772
2,CMT,2.3,-73.98857,40.739406,-73.986626,40.765217,74687
3,CMT,1.7,-73.960213,40.770464,-73.979863,40.77705,74697
4,CMT,0.9,-73.995371,40.717248,-73.984367,40.720524,74829
5,CMT,0.9,-73.983811,40.749655,-73.989747,40.756575,74707
6,CMT,3.6,-73.984138,40.726317,-73.962869,40.758443,74644
7,CMT,2.1,-73.979906,40.74585,-73.95909,40.773639,74603
8,CMT,3.4,-73.981147,40.758918,-73.94251,40.785975,74584
9,CMT,2.3,-73.955193,40.765468,-73.979023,40.740578,75023
10,CMT,9.5,-73.885275,40.773048,-73.980879,40.777384,75096
11,CMT,3.3,-73.991782,40.748911,-73.988359,40.714205,74884
12,CMT,1.8,-73.965717,40.758675,-73.984059,40.737448,74869
13,CMT,1.4,-73.977009,40.75162,-73.982643,40.766574,74927
14,CMT,2.6,-73.977656,40.75368,-73.952249,40.777676,74871
15,CMT,11.2,-73.788266,40.647542,-73.949225,40.6527,74989
16,CMT,1.7,-74.007503,40.725992,-73.988182,40.734583,60695
17,CMT,4.7,-74.014866,40.709353,-73.986084,40.759081,60209
18,CMT,1.6,-73.967675,40.763109,-73.952591,40.778186,60410
19,CMT,17.9,-73.781731,40.644729,-73.978604,40.761822,60420
20,CMT,0.0,-73.790555,40.643935,-73.790555,40.643931,60674
21,CMT,2.1,-73.98881,40.751013,-73.996002,40.726658,60136
22,CMT,14.3,-74.013685,40.709329,-73.88567,40.773195,60125
23,CMT,1.6,-73.970117,40.752862,-73.954138,40.764081,60217
24,CMT,1.3,-73.991542,40.738918,-73.994747,40.724134,60396
25,CMT,1.3,-73.960639,40.768772,-73.976677,40.76534,60556
26,CMT,0.8,-73.979729,40.781711,-73.976644,40.790889,60492
27,CMT,0.6,-73.975379,40.761056,-73.979162,40.753875,60262
28,CMT,3.8,-73.946211,40.772991,-73.994019,40.750252,60642
29,CMT,1.8,-73.992154,40.731084,-73.975377,40.750451,60494
30,CMT,1.2,-73.990262,40.729051,-73.995738,40.741028,60515
31,CMT,2.3,-73.989092,40.736672,-73.985742,40.762699,60522
32,CMT,0.6,-73.977261,40.743052,-73.985396,40.739823,60321
33,CMT,4.3,-74.012385,40.706736,-73.951963,40.711761,60507
34,CMT,2.6,-73.979545,40.735458,-73.971492,40.765339,60573
35,CMT,2.6,-73.95214,40.824428,-73.968302,40.791962,60398
36,CMT,8.3,-73.865552,40.77048,-73.958182,40.800848,60247
37,CMT,1.9,-73.934146,40.801944,-73.952592,40.779056,60517
38,CMT,16.7,-73.989497,40.740451,-73.783606,40.643683,60341
39,CMT,7.7,-73.968986,40.765664,-73.995642,40.697605,60335
40,CMT,3.1,-73.940397,40.751305,-73.964459,40.764384,60633
41,CMT,1.4,-74.002429,40.734449,-73.986076,40.74022,78566
42,CMT,0.9,-73.960472,40.770138,-73.955057,40.781749,78424
43,CMT,1.7,-73.980816,40.764349,-73.991231,40.750719,78576
44,CMT,7.0,-74.00346,40.748904,-73.996721,40.663365,78685
45,CMT,1.5,-73.979416,40.766493,-73.998294,40.756863,78484
46,CMT,0.5,-73.98953,40.734316,-73.983347,40.734478,78571
47,CMT,0.6,-73.97041,40.7595,-73.974723,40.755365,78708
48,CMT,5.0,-73.982765,40.743564,-73.954252,40.803059,78299
49,CMT,8.7,-73.863008,40.769185,-73.987709,40.770281,78330
50,CMT,1.5,-73.991134,40.739729,-74.001103,40.721733,78833
51,CMT,1.8,-74.002665,40.751134,-74.002665,40.751134,78849
52,CMT,9.7,-73.976288,40.75459,-74.057928,40.742812,78683
53,CMT,2.6,-74.00271,40.733161,-74.00271,40.733161,78771
54,CMT,1.3,-73.988034,40.718685,-74.005591,40.717862,78987
55,CMT,4.1,-73.991585,40.735312,-73.958097,40.717483,78806
56,CMT,2.3,-73.975836,40.749046,-73.971989,40.755998,78620
57,CMT,2.5,-73.990112,40.719047,-73.993257,40.746528,78676
58,CMT,13.4,-74.012713,40.702469,-73.860029,40.720961,78288
59,CMT,3.5,-73.967805,40.760859,-74.004705,40.738316,78443
60,CMT,5.6,-74.008321,40.729776,-73.954037,40.78434,78293
61,CMT,1.3,-73.969053,40.761099,-73.988729,40.762424,78491
62,CMT,4.1,-74.002496,40.750189,-73.955914,40.773862,78575
63,CMT,3.2,-73.98556,40.731588,-73.984357,40.691515,78524
64,CMT,0.9,-73.988887,40.736913,-73.989966,40.747071,78526
65,CMT,2.4,-73.978422,40.736845,-73.981282,40.762655,78481
66,CMT,4.2,-74.005286,40.742399,-73.960113,40.77047,78748
67,CMT,0.0,-73.990763,40.72059,-73.99076,40.720599,78523
68,CMT,0.5,-73.992395,40.725088,-73.988531,40.719918,78674
