5000
       driver_id  start_time  end_time        lng        lat node_idgrid_id  \
5222           0           0     79200 -73.844794  40.877882            NaN   
1551           1           0     79200 -73.852758  40.869441            NaN   
14196          2           0     79200 -73.888580  40.882845            NaN   
12283          3           0     79200 -73.857450  40.869533            NaN   
2615           4           0     79200 -73.901244  40.878110            NaN   
5927           5           0     79200 -73.857577  40.875483            NaN   
4726           6           0     79200 -73.860583  40.853621            NaN   
17475          7           0     79200 -73.865640  40.857889            NaN   
18971          8           0     79200 -73.891511  40.882300            NaN   
950            9           0     79200 -73.846143  40.868795            NaN   
18151         10           0     79200 -73.875956  40.879865            NaN   
4756          11           0     79200 -73.896438  40.881835            NaN   
1586          12           0     79200 -73.893512  40.871167            NaN   
15904         13           0     79200 -73.893621  40.865313            NaN   
1600          14           0     79200 -73.880649  40.876483            NaN   
6876          15           0     79200 -73.872005  40.866167            NaN   
381           16           0     79200 -73.857729  40.865478            NaN   
4469          17           0     79200 -73.846992  40.870853            NaN   
15521         18           0     79200 -73.871775  40.857675            NaN   
6202          19           0     79200 -73.843198  40.860897            NaN   
18429         20           0     79200 -73.892760  40.865021            NaN   
14939         21           0     79200 -73.851198  40.879391            NaN   
10535         22           0     79200 -73.863917  40.873601            NaN   
13154         23           0     79200 -73.852939  40.878780            NaN   
6287          24           0     79200 -73.881644  40.857801            NaN   
13393         25           0     79200 -73.883194  40.883268            NaN   
8347          26           0     79200 -73.850340  40.865396            NaN   
2994          27           0     79200 -73.846005  40.876380            NaN   
5422          28           0     79200 -73.885125  40.877292            NaN   
6328          29           0     79200 -73.847321  40.860974            NaN   
2599          30           0     79200 -73.898150  40.878452            NaN   
17887         31           0     79200 -73.861624  40.878253            NaN   
8254          32           0     79200 -73.882492  40.858710            NaN   
1388          33           0     79200 -73.841566  40.869761            NaN   
19640         34           0     79200 -73.892001  40.855549            NaN   
11403         35           0     79200 -73.887702  40.856875            NaN   
1635          36           0     79200 -73.891097  40.856780            NaN   
7572          37           0     79200 -73.865324  40.867857            NaN   
573           38           0     79200 -73.895446  40.866610            NaN   
18697         39           0     79200 -73.853017  40.874879            NaN   
14885         40           0     79200 -73.886915  40.873324            NaN   
12491         41           0     79200 -73.896587  40.881251            NaN   
13867         42           0     79200 -73.899657  40.868558            NaN   
19725         43           0     79200 -73.872298  40.856084            NaN   
19729         44           0     79200 -73.850946  40.880363            NaN   
12946         45           0     79200 -73.845187  40.869922            NaN   
12833         46           0     79200 -73.869296  40.873261            NaN   
3093          47           0     79200 -73.894306  40.866153            NaN   
18647         48           0     79200 -73.898365  40.851913            NaN   
1             49           0     79200 -73.899650  40.877929            NaN   
5116          50           0     79200 -73.844444  40.862787            NaN   
14241         51           0     79200 -73.846799  40.870112            NaN   
14230         52           0     79200 -73.882757  40.857677            NaN   
12056         53           0     79200 -73.855834  40.863000            NaN   
4189          54           0     79200 -73.852734  40.857239            NaN   
6430          55           0     79200 -73.892799  40.882720            NaN   
10333         56           0     79200 -73.848597  40.871670            NaN   
6476          57           0     79200 -73.886360  40.875419            NaN   
7131          58           0     79200 -73.898679  40.859251            NaN   
589           59           0     79200 -73.897307  40.856510            NaN   
14578         60           0     79200 -73.896425  40.860997            NaN   
16786         61           0     79200 -73.851198  40.879391            NaN   
2700          62           0     79200 -73.886183  40.875380            NaN   
19090         63           0     79200 -73.891908  40.862406            NaN   
15120         64           0     79200 -73.852548  40.877092            NaN   
10427         65           0     79200 -73.851452  40.856137            NaN   
11698         66           0     79200 -73.859375  40.873082            NaN   
19654         67           0     79200 -73.843213  40.867445            NaN   
7154          68           0     79200 -73.895376  40.860744            NaN   
1489          69           0     79200 -73.888314  40.868547            NaN   
8099          70           0     79200 -73.843003  40.859502            NaN   
8741          71           0     79200 -73.863354  40.876404            NaN   
8752          72           0     79200 -73.858463  40.863790            NaN   
3207          73           0     79200 -73.869277  40.867928            NaN   
3016          74           0     79200 -73.900017  40.868040            NaN   
9907          75           0     79200 -73.850151  40.862894            NaN   
1528          76           0     79200 -73.851723  40.876844            NaN   
18749         77           0     79200 -73.891439  40.861644            NaN   
6921          78           0     79200 -73.867208  40.869702            NaN   
5206          79           0     79200 -73.855246  40.874738            NaN   
3135          80           0     79200 -73.847397  40.858683            NaN   
2003          81           0     79200 -73.860507  40.866930            NaN   
12002         82           0     79200 -73.849180  40.853214            NaN   
4338          83           0     79200 -73.860551  40.865530            NaN   
10593         84           0     79200 -73.866722  40.876482            NaN   
14675         85           0     79200 -73.893238  40.865259            NaN   
18598         86           0     79200 -73.891814  40.867424            NaN   
17566         87           0     79200 -73.888314  40.868547            NaN   
14915         88           0     79200 -73.841913  40.858088            NaN   
11308         89           0     79200 -73.885430  40.879090            NaN   
13835         90           0     79200 -73.853017  40.874879            NaN   
18579         91           0     79200 -73.852939  40.878780            NaN   
11086         92           0     79200 -73.888912  40.852979            NaN   
10423         93           0     79200 -73.870537  40.869674            NaN   
4992          94           0     79200 -73.869328  40.870593            NaN   
15333         95           0     79200 -73.848297  40.859811            NaN   
8814          96           0     79200 -73.897994  40.884035            NaN   
15351         97           0     79200 -73.867098  40.877171            NaN   
18032         98           0     79200 -73.854569  40.871209            NaN   
9958          99           0     79200 -73.841765  40.862737            NaN   
8065         100           0     79200 -73.889804  40.872401            NaN   
5762         101           0     79200 -73.857508  40.856897            NaN   
13635        102           0     79200 -73.892167  40.852770            NaN   
19093        103           0     79200 -73.854952  40.859747            NaN   
17249        104           0     79200 -73.868576  40.858828            NaN   
14205        105           0     79200 -73.853699  40.869461            NaN   
7404         106           0     79200 -73.855967  40.859733            NaN   
17232        107           0     79200 -73.843198  40.860897            NaN   
12267        108           0     79200 -73.884002  40.855057            NaN   
15775        109           0     79200 -73.849156  40.862875            NaN   
6694         110           0     79200 -73.848399  40.880772            NaN   
8166         111           0     79200 -73.884761  40.877158            NaN   
3184         112           0     79200 -73.887366  40.859587            NaN   
10004        113           0     79200 -73.886915  40.873324            NaN   
7957         114           0     79200 -73.886619  40.873977            NaN   
9449         115           0     79200 -73.882685  40.880286            NaN   
19463        116           0     79200 -73.896363  40.858376            NaN   
2478         117           0     79200 -73.898078  40.855288            NaN   
12524        118           0     79200 -73.844292  40.867466            NaN   
17971        119           0     79200 -73.901523  40.870393            NaN   
11137        120           0     79200 -73.856614  40.871250            NaN   
18802        121           0     79200 -73.862690  40.874654            NaN   
